vendor,product_name,current_price,old_price,month
Metro,"Medium Roast Decaffeinated K-Cup Coffee Pods, Pike P...",22.99,25.99,8
Metro,"Medium Roast Decaffeinated K-Cup Coffee Pods, Pike P...",22.99,25.99,9
Metro,"Medium Roast Decaffeinated K-Cup Coffee Pods, Pike P...",16.99,25.99,9
Metro,Intense Cream Espresso Whole Coffee Beans,13.99,18.99,6
Metro,Intense Cream Espresso Whole Coffee Beans,13.99,18.99,7
Metro,Intense Cream Espresso Whole Coffee Beans,10.88,18.99,7
Metro,Intense Cream Espresso Whole Coffee Beans,13.99,18.99,8
Metro,Intense Cream Espresso Whole Coffee Beans,13.99,18.99,9
Metro,Spicy Pumpkin Flavoured Almonds Iced Coffee,7.6899999999999995,7.99,9
Metro,Spicy Pumpkin Flavoured Almonds Iced Coffee,7.6899999999999995,7.99,10
Metro,Spicy Pumpkin Flavoured Almonds Iced Coffee,7.49,7.99,10
Metro,Grounded Brazilian Coffee,4.99,5.49,6
Metro,Grounded Brazilian Coffee,4.99,5.49,7
Metro,Grouded Portuguese Coffee,4.99,5.49,6
Metro,Grouded Portuguese Coffee,4.99,5.49,7
Metro,Gold Espresso Coffee Beans,21.99,22.99,6
Metro,Gold Espresso Coffee Beans,21.99,22.99,7
Metro,Grounded Colombian Coffee,4.99,5.49,6
Metro,Grounded Colombian Coffee,4.99,5.49,7
Metro,Vanilla Biscotti K-Cup Coffee Pods,9.49,10.49,9
Metro,Vanilla Biscotti K-Cup Coffee Pods,9.49,10.49,10
Metro,#4 Cone Coffee Filters,4.49,4.99,9
Metro,#4 Cone Coffee Filters,4.49,4.99,10
Metro,Espresso 100% Arabica Coffee Capsules,8.99,9.99,9
Metro,Dark Roast K-Cup Coffee Pods,29.99,37.99,9
Metro,Extra Dark Rainforest Espresso Coffee Capsule,9.49,11.99,7
Metro,Extra Dark Rainforest Espresso Coffee Capsule,9.99,11.99,9
Metro,Pumpkin Spice Flavoured Cold Brew Coffee,7.49,9.99,10
Metro,"Roasted Coffee Capsules, Espresso Maestro",4.99,8.99,10
Metro,Vanilla Biscotti K-Cup Coffee Pods,21.99,23.99,10
Metro,"Original Blend K-Cup Coffee Pods, Rich",18.99,21.99,8
Metro,"Extra Large Morning Blend Coffee T Discs, Tassimo",5.99,9.99,6
Metro,"Extra Large Morning Blend Coffee T Discs, Tassimo",5.99,9.99,7
Metro,"Extra Large Morning Blend Coffee T Discs, Tassimo",8.99,9.99,8
Metro,"Extra Large Morning Blend Coffee T Discs, Tassimo",8.99,9.99,9
Metro,"Extra Large Morning Blend Coffee T Discs, Tassimo",5.99,9.99,9
Metro,"Extra Large Morning Blend Coffee T Discs, Tassimo",8.49,9.99,9
Metro,"Extra Large Morning Blend Coffee T Discs, Tassimo",8.49,9.99,10
Metro,"Americano Coffee T-Discs, Tassimo",8.99,12.49,6
Metro,"Americano Coffee T-Discs, Tassimo",9.99,11.99,7
Metro,"Americano Coffee T-Discs, Tassimo",8.49,11.99,9
Metro,"Americano Coffee T-Discs, Tassimo",9.49,11.99,9
Metro,"Americano Coffee T-Discs, Tassimo",9.49,11.99,10
Metro,"Americano Coffee T-Discs, Tassimo",9.99,11.99,10
Metro,"Medium Roast K-Cup Coffee Pods, Colombian Medium",19.99,21.99,6
Metro,"Medium Roast K-Cup Coffee Pods, Colombian Medium",19.99,21.99,7
Metro,"Medium Roast K-Cup Coffee Pods, Colombian Medium",20.99,21.99,8
Metro,"Medium Roast K-Cup Coffee Pods, Colombian Medium",19.99,21.99,8
Metro,"Medium Roast K-Cup Coffee Pods, Colombian Medium",19.99,21.99,9
Metro,"Medium Roast K-Cup Coffee Pods, Colombian Medium",19.99,21.99,10
Metro,"Dark Roast Ground Coffee, 1850 Midnight Gold",11.99,13.99,9
Metro,"Dark Roast Ground Coffee, 1850 Midnight Gold",11.99,13.99,10
Metro,"Stout Roast Smoky Spicy Coffee Pods, A Dark Affair",14.99,18.99,6
Metro,"Stout Roast Smoky Spicy Coffee Pods, A Dark Affair",14.99,18.99,7
Metro,"Stout Roast Smoky Spicy Coffee Pods, A Dark Affair",16.99,18.99,8
Metro,"Stout Roast Smoky Spicy Coffee Pods, A Dark Affair",16.99,18.99,9
Metro,"Stout Roast Smoky Spicy Coffee Pods, A Dark Affair",15.99,18.99,9
Metro,"Stout Roast Smoky Spicy Coffee Pods, A Dark Affair",15.99,18.99,10
Metro,Granaroma Coffee Beans,17.99,19.99,6
Metro,Granaroma Coffee Beans,17.99,19.99,7
Metro,Granaroma Coffee Beans,17.99,25.99,8
Metro,Granaroma Coffee Beans,17.99,25.99,9
Metro,Organic Bards Blend K-Cup® Coffee Pods,14.99,18.99,6
Metro,Organic Bards Blend K-Cup® Coffee Pods,14.99,18.99,7
Metro,Organic Bards Blend K-Cup® Coffee Pods,16.99,18.99,8
Metro,Organic Bards Blend K-Cup® Coffee Pods,16.99,18.99,9
Metro,Organic Bards Blend K-Cup® Coffee Pods,15.99,18.99,9
Metro,Organic Bards Blend K-Cup® Coffee Pods,15.99,18.99,10
Metro,"Decaf Coffee T Discs, Tassimo",5.99,9.99,6
Metro,"Decaf Coffee T Discs, Tassimo",5.99,9.99,7
Metro,"Decaf Coffee T Discs, Tassimo",8.99,9.99,8
Metro,"Decaf Coffee T Discs, Tassimo",8.99,9.99,9
Metro,"Decaf Coffee T Discs, Tassimo",5.99,9.99,9
Metro,"Decaf Coffee T Discs, Tassimo",8.49,9.99,9
Metro,"Decaf Coffee T Discs, Tassimo",8.49,9.99,10
Metro,"Latte Coffee T-Discs, Tassimo",8.99,11.99,6
Metro,"Latte Coffee T-Discs, Tassimo",9.99,11.99,7
Metro,"Latte Coffee T-Discs, Tassimo",8.49,11.99,9
Metro,"Latte Coffee T-Discs, Tassimo",9.49,11.99,9
Metro,"Latte Coffee T-Discs, Tassimo",9.49,11.99,10
